Entry Name,true_compartments,predicted_compartments
RPGFL_HUMAN,Membrane,Membrane
TMX1_HUMAN,"Membrane,Endoplasmic_Reticulum",None provided
BRNP3_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
K0930_HUMAN,None provided,None provided
DRB1_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
A2GL_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
AOFB_HUMAN,Membrane,Membrane
MOK_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
PHAR3_HUMAN,None provided,None provided
PRLD1_HUMAN,Membrane,"Membrane,Cytoplasm"
PEDF_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
DDX41_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
TNFL6_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
FUT1_HUMAN,"Golgi,Membrane","Golgi,Membrane"
MELT_HUMAN,Membrane,Membrane
DDIAS_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
HAUS5_HUMAN,None provided,None provided
HXA2_HUMAN,Membrane,Membrane
PCID2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
SERA_HUMAN,Extracellular,Extracellular
CNO6L_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
NEK2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
KR241_HUMAN,None provided,None provided
IGSF5_HUMAN,Membrane,Membrane
LAMP5_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm",None provided
S23A3_HUMAN,Membrane,Membrane
RGS2_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
OR7D4_HUMAN,Membrane,Membrane
KBTB6_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ANGP4_HUMAN,Extracellular,Extracellular
MTX2_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
HNRLL_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
SPG21_HUMAN,"Golgi,Membrane","Golgi,Membrane"
BTNL8_HUMAN,Membrane,Membrane
BEAN1_HUMAN,Membrane,None provided
ZN556_HUMAN,Nucleus,Nucleus
TM145_HUMAN,Membrane,Membrane
O10G6_HUMAN,Membrane,Membrane
RP9_HUMAN,Nucleus,Nucleus
ANO1_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
TINAL_HUMAN,"Extracellular,Cytoplasm",Extracellular
MRGBP_HUMAN,None provided,None provided
UBP46_HUMAN,Nucleus,Nucleus
DCBD2_HUMAN,Membrane,Membrane
GOLM2_HUMAN,"Golgi,Membrane","Golgi,Membrane"
EIF3G_HUMAN,Cytoplasm,Nucleus
GRN_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
KPRP_HUMAN,"Extracellular,Cytoplasm",None provided
CHST8_HUMAN,"Golgi,Membrane","Golgi,Membrane"
CCDC8_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
ACADS_HUMAN,Nucleus,Nucleus
MAGBG_HUMAN,Nucleus,Nucleus
FA83F_HUMAN,None provided,None provided
SACDR_HUMAN,Nucleus,Nucleus
Z585A_HUMAN,Nucleus,Nucleus
B3GNL_HUMAN,None provided,None provided
OSGI1_HUMAN,None provided,None provided
FBX34_HUMAN,None provided,None provided
MCUB_HUMAN,Membrane,Membrane
TEX38_HUMAN,Membrane,Membrane
BAG4_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
NUSAP_HUMAN,Cytoplasm,None provided
TAAR5_HUMAN,Membrane,Membrane
MOT9_HUMAN,Membrane,Membrane
PRA26_HUMAN,Cytoplasm,Cytoplasm
SRCH_HUMAN,"Membrane,Endoplasmic_Reticulum",None provided
MEIOS_HUMAN,Nucleus,Nucleus
F171B_HUMAN,Membrane,Membrane
IOD1_HUMAN,"Membrane,Endoplasmic_Reticulum",Membrane
REEP2_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
PTN2_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Golgi,Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
RBM10_HUMAN,Nucleus,Nucleus
VPS35_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
ANS4B_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
OXGR1_HUMAN,Membrane,Membrane
GFRA3_HUMAN,Membrane,Membrane
ENH1_HUMAN,Membrane,Membrane
OR2T2_HUMAN,Membrane,Membrane
STX6_HUMAN,"Golgi,Membrane,Cytoplasm",Membrane
ELOA1_HUMAN,Extracellular,Extracellular
CAPSL_HUMAN,Cytoplasm,Cytoplasm
AP1AR_HUMAN,Golgi,Golgi
GRK4_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
TASL_HUMAN,Membrane,None provided
DCA15_HUMAN,None provided,None provided
PMEPA_HUMAN,"Golgi,Membrane","Golgi,Membrane"
TFDP3_HUMAN,"Nucleus,Cytoplasm",None provided
CNOT3_HUMAN,Nucleus,None provided
VPS4B_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
ESYT3_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm",Membrane
PTSS1_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
RT30_HUMAN,Membrane,Membrane
DNJB9_HUMAN,"Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm","Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm"
LRRC3_HUMAN,Membrane,Membrane
CIP2A_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
TFDP1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
NCLN_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
OR8J3_HUMAN,Membrane,Membrane
WLS_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm"
ICAM5_HUMAN,Membrane,Membrane
YTHD1_HUMAN,Cytoplasm,"Nucleus,Cytoplasm"
CV042_HUMAN,None provided,None provided
SRRM5_HUMAN,None provided,None provided
ACSF3_HUMAN,None provided,None provided
SCN3B_HUMAN,Membrane,Membrane
YH006_HUMAN,Extracellular,Membrane
MGT4C_HUMAN,"Golgi,Membrane","Golgi,Membrane"
ZN786_HUMAN,Nucleus,Nucleus
PDIA2_HUMAN,Endoplasmic_Reticulum,Endoplasmic_Reticulum
NOP53_HUMAN,Membrane,Membrane
OSTF1_HUMAN,Extracellular,Extracellular
SMOC2_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
ZSC30_HUMAN,Nucleus,Nucleus
YH009_HUMAN,None provided,None provided
BPIA1_HUMAN,Extracellular,Extracellular
DZI1L_HUMAN,Cytoplasm,Cytoplasm
NRBP_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
NPT2A_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
APBA1_HUMAN,"Golgi,Membrane,Nucleus,Cytoplasm","Golgi,Membrane,Nucleus,Cytoplasm"
MAP6_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
CYTIP_HUMAN,Cytoplasm,Cytoplasm
NUDC_HUMAN,Cytoplasm,Cytoplasm
ACTB_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
CF099_HUMAN,None provided,None provided
FUBP1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
F110C_HUMAN,Nucleus,Nucleus
ZIC1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
H2AW_HUMAN,Extracellular,Nucleus
FHR2_HUMAN,Extracellular,Extracellular
SRTD2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
IDH3A_HUMAN,Nucleus,Nucleus
CA074_HUMAN,None provided,None provided
ZBTB1_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
CCD34_HUMAN,None provided,None provided
DBX2_HUMAN,Nucleus,None provided
PDE9A_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm"
STX19_HUMAN,Membrane,Membrane
CHM4C_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
ACKR2_HUMAN,Membrane,Membrane
DMRTD_HUMAN,Nucleus,Nucleus
PCKGC_HUMAN,"Extracellular,Endoplasmic_Reticulum,Cytoplasm","Extracellular,Endoplasmic_Reticulum,Cytoplasm"
CC120_HUMAN,None provided,None provided
GCYA2_HUMAN,None provided,None provided
NDC1_HUMAN,"Membrane,Cytoplasm",Membrane
S26A6_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
ZPBP1_HUMAN,"Membrane,Extracellular,Nucleus","Membrane,Extracellular,Nucleus"
PDE6B_HUMAN,Membrane,Membrane
CENPN_HUMAN,Nucleus,Nucleus
TCAB1_HUMAN,None provided,None provided
NT5C_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
RRAGD_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
UVRAG_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm"
NET3_HUMAN,"Golgi,Extracellular","Golgi,Extracellular"
GALM_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
CABP2_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
ZDHC2_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum","Golgi,Membrane,Endoplasmic_Reticulum"
NEUM_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
MATN2_HUMAN,Extracellular,Extracellular
GPDA_HUMAN,Extracellular,Extracellular
PSA6_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
VTM2B_HUMAN,Membrane,None provided
HTSF1_HUMAN,Nucleus,Nucleus
UPP_HUMAN,"Membrane,Cytoplasm",None provided
EIF3I_HUMAN,Extracellular,Extracellular
MSLNL_HUMAN,Membrane,Membrane
DAA11_HUMAN,"Extracellular,Cytoplasm",None provided
CBR1_HUMAN,Extracellular,Extracellular
A2AP_HUMAN,Extracellular,Extracellular
SHCAF_HUMAN,Nucleus,Nucleus
WASL_HUMAN,"Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
BTBD3_HUMAN,Nucleus,Nucleus
OR2K2_HUMAN,Membrane,Membrane
HXA7_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
CBLB_HUMAN,Membrane,None provided
PLCX3_HUMAN,Cytoplasm,Cytoplasm
ANGP2_HUMAN,Extracellular,Extracellular
TFE3_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
CSTOS_HUMAN,None provided,None provided
TKTL1_HUMAN,None provided,None provided
O10K1_HUMAN,Membrane,Membrane
GRB14_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
GPR83_HUMAN,Membrane,Membrane
WNT7A_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum",Extracellular
SBK2_HUMAN,None provided,None provided
WDR88_HUMAN,None provided,None provided
TBX10_HUMAN,Nucleus,Nucleus
LEG1H_HUMAN,Extracellular,Extracellular
ERR1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
MAD4_HUMAN,None provided,None provided
S5A2_HUMAN,"Membrane,Endoplasmic_Reticulum",Membrane
SC23A_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum"
SUMF1_HUMAN,Endoplasmic_Reticulum,Endoplasmic_Reticulum
ZN782_HUMAN,Nucleus,Nucleus
PHLP_HUMAN,Cytoplasm,Cytoplasm
AFG2A_HUMAN,Cytoplasm,"Membrane,Nucleus,Cytoplasm"
SRSF4_HUMAN,Nucleus,Nucleus
IKZF1_HUMAN,Nucleus,Nucleus
NUD18_HUMAN,None provided,None provided
LYPA1_HUMAN,"Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm","Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm"
ITIH3_HUMAN,Extracellular,"Membrane,Extracellular,Cytoplasm"
ALKB7_HUMAN,None provided,None provided
UTP18_HUMAN,"Membrane,Nucleus","Nucleus,Cytoplasm"
TIA1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
RPAB1_HUMAN,Nucleus,Nucleus
TULP2_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
PABP5_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
GT253_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
NCAM2_HUMAN,Membrane,Extracellular
RDHE2_HUMAN,"Membrane,Endoplasmic_Reticulum,Nucleus","Membrane,Endoplasmic_Reticulum,Nucleus"
GGA1_HUMAN,"Golgi,Membrane","Golgi,Membrane"
KLF11_HUMAN,Nucleus,Nucleus
HDGL1_HUMAN,Nucleus,Nucleus
MA1B1_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm",Membrane
BLML_HUMAN,None provided,None provided
GSTM1_HUMAN,Cytoplasm,Cytoplasm
PRS41_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
FBX46_HUMAN,None provided,None provided
MFSD6_HUMAN,Membrane,Membrane
TSN_HUMAN,"Endoplasmic_Reticulum,Nucleus,Cytoplasm",Membrane
ZFAN1_HUMAN,Cytoplasm,Cytoplasm
ZN772_HUMAN,Nucleus,Nucleus
WDR27_HUMAN,None provided,None provided
NQO2_HUMAN,Extracellular,Extracellular
RTKN2_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
TRI16_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
PPOX_HUMAN,Membrane,Membrane
KS6A5_HUMAN,"Nucleus,Cytoplasm",None provided
EXO1_HUMAN,"Membrane,Nucleus",None provided
WEE1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ITB5_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
BSSP4_HUMAN,Extracellular,Extracellular
PP4R1_HUMAN,None provided,Membrane
PDD2L_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
YS043_HUMAN,None provided,None provided
PERM1_HUMAN,"Nucleus,Cytoplasm",None provided
GIPC2_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
PSTK_HUMAN,None provided,None provided
SWET1_HUMAN,"Golgi,Membrane","Golgi,Membrane"
CCSE1_HUMAN,None provided,None provided
MIS_HUMAN,Extracellular,Extracellular
ANX10_HUMAN,Cytoplasm,Cytoplasm
PRPS2_HUMAN,Cytoplasm,Cytoplasm
COG3_HUMAN,"Golgi,Membrane","Golgi,Membrane"
CNN2_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
NUD12_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
KLDC2_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
T22D2_HUMAN,None provided,None provided
TM204_HUMAN,Membrane,Membrane
PDE5A_HUMAN,None provided,None provided
FIGL1_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
TM6S1_HUMAN,Membrane,Membrane
LDB2_HUMAN,"Membrane,Nucleus",Nucleus
MED18_HUMAN,Nucleus,Nucleus
NAIF1_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
MEF2A_HUMAN,Nucleus,Nucleus
OXR1_HUMAN,Nucleus,Nucleus
ERFL_HUMAN,Nucleus,Nucleus
VDR_HUMAN,Nucleus,Nucleus
CMS1_HUMAN,None provided,None provided
ERG1_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
PGS1_HUMAN,"Golgi,Extracellular","Golgi,Extracellular"
QKI_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
TF2H3_HUMAN,Nucleus,Nucleus
TRM6_HUMAN,Nucleus,Nucleus
RTL3_HUMAN,Nucleus,Nucleus
INT15_HUMAN,None provided,None provided
CATL1_HUMAN,"Golgi,Membrane,Extracellular,Nucleus","Membrane,Extracellular"
KLHL3_HUMAN,None provided,None provided
RSRP1_HUMAN,Nucleus,Nucleus
SWP70_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
T106C_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
TPH1_HUMAN,None provided,None provided
CAPR1_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
CT55_HUMAN,Cytoplasm,Cytoplasm
BBOF1_HUMAN,Cytoplasm,Cytoplasm
TBX5_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
IBP1_HUMAN,"Golgi,Extracellular,Endoplasmic_Reticulum",None provided
KPCI_HUMAN,"Golgi,Membrane,Extracellular,Nucleus","Golgi,Membrane,Extracellular,Nucleus"
ARMD4_HUMAN,Membrane,Membrane
PRS7_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
S15A2_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
SCEL_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
SRFB1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ZKSC7_HUMAN,Nucleus,Nucleus
GSG1L_HUMAN,Membrane,Membrane
T191B_HUMAN,Membrane,Membrane
LNX2_HUMAN,Membrane,Membrane
TRADD_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
AP4AT_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
KLH14_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
RM03_HUMAN,Membrane,Membrane
D19L3_HUMAN,Membrane,Membrane
VPS41_HUMAN,"Golgi,Membrane","Golgi,Membrane"
PIGF_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
RBM39_HUMAN,None provided,None provided
DDX52_HUMAN,Membrane,Membrane
LMBL2_HUMAN,Nucleus,None provided
PRD12_HUMAN,Nucleus,Nucleus
ASB7_HUMAN,None provided,None provided
PDIA1_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
CB5D1_HUMAN,Cytoplasm,Cytoplasm
SND1_HUMAN,"Membrane,Extracellular,Nucleus","Membrane,Extracellular,Nucleus"
TM248_HUMAN,Membrane,Membrane
H2AY_HUMAN,"Extracellular,Nucleus","Extracellular,Nucleus"
CLC7A_HUMAN,"Membrane,Cytoplasm",Membrane
KCD15_HUMAN,Nucleus,Nucleus
VP33B_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
TALAN_HUMAN,None provided,None provided
IRAK4_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm",None provided
RPTN_HUMAN,Extracellular,Extracellular
MGT5B_HUMAN,"Golgi,Membrane","Golgi,Membrane"
ZN891_HUMAN,Nucleus,Nucleus
URP2_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
GRAP_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
ZN578_HUMAN,Nucleus,Nucleus
ZN433_HUMAN,Nucleus,Nucleus
TSYL5_HUMAN,Nucleus,Nucleus
ZN696_HUMAN,Nucleus,Nucleus
SRPK1_HUMAN,"Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
CXA5_HUMAN,Membrane,Membrane
DXO_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
ALG9_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
ACO11_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
CI072_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
RT18B_HUMAN,Membrane,Membrane
P20D2_HUMAN,None provided,None provided
FXL18_HUMAN,None provided,None provided
CISY_HUMAN,"Extracellular,Nucleus","Extracellular,Nucleus"
SPS2_HUMAN,Cytoplasm,Cytoplasm
AMER3_HUMAN,Membrane,None provided
OR5I1_HUMAN,Membrane,Membrane
HAUS7_HUMAN,Membrane,Membrane
ZN662_HUMAN,Nucleus,Nucleus
NOP14_HUMAN,Membrane,Membrane
DDX42_HUMAN,"Membrane,Nucleus,Cytoplasm",Nucleus
FANCB_HUMAN,None provided,Membrane
DUXB_HUMAN,Nucleus,Nucleus
PRSR1_HUMAN,None provided,None provided
CC122_HUMAN,None provided,None provided
AURKC_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ADAM5_HUMAN,None provided,None provided
IRAK2_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
OPSD_HUMAN,"Golgi,Membrane",Membrane
CXAR_HUMAN,"Membrane,Extracellular,Cytoplasm",None provided
RN149_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm"
PWP2_HUMAN,None provided,None provided
MP2K6_HUMAN,Cytoplasm,Cytoplasm
PLPP3_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum","Golgi,Membrane,Endoplasmic_Reticulum"
ABHGA_HUMAN,Membrane,Membrane
MPIP1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
SGCB_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
MTMRE_HUMAN,Cytoplasm,Cytoplasm
AURKB_HUMAN,Nucleus,Nucleus
ZN793_HUMAN,Nucleus,Nucleus
ZN511_HUMAN,Nucleus,Nucleus
GARE1_HUMAN,Membrane,Membrane
ZN214_HUMAN,Nucleus,Nucleus
OFCC1_HUMAN,None provided,None provided
ZN75D_HUMAN,Nucleus,Nucleus
SHRPN_HUMAN,None provided,None provided
GCP3_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
VN1R4_HUMAN,Membrane,Membrane
ELMD1_HUMAN,None provided,None provided
APH1A_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum","Golgi,Membrane,Endoplasmic_Reticulum"
PERL_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
ILRUN_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
KDM1B_HUMAN,Nucleus,Nucleus
RING2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
CP4AB_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
ESAM_HUMAN,Membrane,Membrane
CC160_HUMAN,None provided,None provided
FZD10_HUMAN,"Membrane,Cytoplasm",Membrane
TRUB1_HUMAN,Nucleus,Nucleus
PPR3D_HUMAN,None provided,None provided
PANKY_HUMAN,Nucleus,Nucleus
CPNE2_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
CLC11_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
IFT74_HUMAN,Nucleus,Nucleus
SMAD4_HUMAN,"Nucleus,Cytoplasm",Membrane
RBG10_HUMAN,None provided,None provided
TPRG1_HUMAN,Cytoplasm,Cytoplasm
PAPD7_HUMAN,"Golgi,Membrane,Nucleus","Golgi,Membrane,Nucleus"
CD36_HUMAN,"Golgi,Membrane,Extracellular,Cytoplasm","Golgi,Membrane,Extracellular,Cytoplasm"
SP2_HUMAN,None provided,None provided
ZN33A_HUMAN,Nucleus,Nucleus
PRR5L_HUMAN,None provided,Membrane
CD44_HUMAN,"Golgi,Membrane,Extracellular","Golgi,Membrane,Extracellular"
GSTA4_HUMAN,None provided,None provided
PGAM1_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
SRP54_HUMAN,"Endoplasmic_Reticulum,Nucleus,Cytoplasm","Endoplasmic_Reticulum,Nucleus,Cytoplasm"
SPSB4_HUMAN,None provided,None provided
AHSA1_HUMAN,"Extracellular,Endoplasmic_Reticulum","Extracellular,Endoplasmic_Reticulum"
ACMSD_HUMAN,Cytoplasm,Cytoplasm
ALKB5_HUMAN,"Golgi,Nucleus","Golgi,Nucleus"
ACVL1_HUMAN,Membrane,Membrane
CSF1_HUMAN,"Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm","Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm"
ALG14_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
ZN397_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
LZTL1_HUMAN,Cytoplasm,None provided
CM042_HUMAN,None provided,None provided
BPIFC_HUMAN,Extracellular,Extracellular
PD1L2_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
TINF2_HUMAN,None provided,None provided
ZN408_HUMAN,Nucleus,Nucleus
ADH1A_HUMAN,Membrane,Membrane
NECA2_HUMAN,"Membrane,Cytoplasm",None provided
S2611_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
TSN32_HUMAN,None provided,None provided
ZNF43_HUMAN,Nucleus,Nucleus
SCAM5_HUMAN,"Golgi,Membrane","Golgi,Membrane"
MACC1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
NDRG4_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
KLHL2_HUMAN,Cytoplasm,Cytoplasm
DUS12_HUMAN,"Nucleus,Cytoplasm",None provided
POPD2_HUMAN,Membrane,Membrane
PAOX_HUMAN,None provided,None provided
RFC3_HUMAN,Nucleus,None provided
PILRA_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
FA81A_HUMAN,None provided,None provided
RD23A_HUMAN,"Golgi,Membrane,Nucleus,Cytoplasm","Golgi,Membrane,Nucleus,Cytoplasm"
RM21_HUMAN,Membrane,Membrane
OTOP2_HUMAN,Membrane,Membrane
ADT1_HUMAN,Membrane,Membrane
YIPF7_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum","Golgi,Membrane,Endoplasmic_Reticulum"
CHMP3_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
SPF45_HUMAN,None provided,None provided
