M,R,P,L,S,G,K,T,I,F,A,C,Q,V,Y,N,E,D,H,W,U,Mass
6,22,22,24,23,19,24,22,10,6,22,9,12,24,8,4,17,20,6,1,0,33172
11,12,12,32,23,29,19,16,14,19,29,9,13,19,13,9,10,9,1,2,0,32736
5,16,13,34,29,17,6,19,10,10,18,9,14,34,8,18,16,15,6,5,0,33349
2,18,14,34,33,14,19,20,6,9,28,13,13,17,7,5,20,14,13,3,0,33362
12,10,18,23,14,13,32,17,17,18,16,3,11,13,11,11,19,21,14,9,0,35520
11,18,12,39,13,21,16,23,15,13,26,7,11,24,5,10,18,9,7,4,0,33548
5,21,15,26,22,26,14,13,12,10,25,15,18,14,3,10,24,12,15,2,0,33249
9,12,19,28,23,21,14,10,14,14,17,10,23,24,11,8,19,16,7,3,0,33825
7,22,14,38,18,24,12,12,13,9,37,5,15,24,6,9,17,13,3,4,0,32816
4,16,15,46,26,9,9,19,8,14,25,6,13,26,11,8,18,17,10,2,0,33893
6,13,11,37,18,19,27,15,20,7,27,4,18,17,3,9,29,14,6,2,0,33403
2,27,19,40,24,32,7,12,4,14,32,6,20,21,1,4,16,11,7,3,0,32416
7,23,8,27,34,20,17,16,7,7,15,6,15,9,8,15,38,22,5,3,0,34280
3,22,41,34,42,19,6,19,4,8,19,15,15,15,0,6,13,5,12,4,0,32374
3,19,39,26,42,34,6,15,1,2,30,9,15,11,0,5,13,12,10,10,0,31336
8,21,21,25,28,16,31,11,7,10,20,7,25,13,4,10,22,13,9,1,0,34103
9,24,23,33,10,25,10,8,9,10,47,7,7,23,13,4,17,10,11,2,0,32837
13,10,17,46,24,13,8,21,23,18,16,7,5,31,11,12,5,7,12,3,0,33766
12,16,18,29,18,15,23,9,16,12,21,8,14,18,15,12,16,19,9,2,0,34551
13,16,14,26,27,15,20,9,13,11,12,6,13,23,15,17,26,12,7,7,0,35101
7,23,18,37,9,23,3,7,8,7,47,7,19,19,7,2,31,17,9,2,0,32904
11,24,17,29,26,22,9,17,9,14,18,12,12,24,14,3,15,10,11,5,0,34201
5,29,23,33,20,23,9,10,10,12,25,12,11,20,5,3,28,12,5,7,0,33838
7,16,19,42,23,21,5,12,13,14,18,7,10,21,13,10,13,16,13,9,0,34225
5,15,20,24,13,26,31,12,19,18,8,7,12,16,18,14,25,15,1,4,0,35061
5,10,18,29,7,14,20,17,12,14,18,15,10,20,7,14,34,23,12,4,0,34632
8,23,25,33,15,24,11,15,11,13,22,4,8,27,9,7,19,17,9,3,0,33730
7,15,12,20,21,18,25,15,17,17,18,11,11,18,9,14,19,27,7,2,0,34277
5,19,17,35,31,17,16,13,12,22,17,5,11,20,10,14,22,14,1,2,0,34190
6,8,12,24,21,19,27,13,20,25,19,5,14,12,14,10,22,18,9,5,0,34919
8,14,21,31,15,15,16,17,14,7,20,33,16,19,7,8,14,14,10,4,0,33697
4,29,20,32,25,20,4,16,3,14,36,4,15,28,8,8,14,9,12,2,0,33233
4,19,17,41,16,36,9,18,8,11,34,8,13,26,10,5,11,10,5,2,0,32062
9,23,31,26,28,38,10,14,5,6,17,5,18,16,3,6,20,16,11,1,0,32405
5,11,21,32,35,28,10,14,11,4,23,11,12,26,8,5,20,15,9,3,0,32090
9,20,19,32,25,20,14,11,13,9,38,6,13,24,4,8,16,13,7,2,0,32634
9,14,20,40,23,22,13,13,11,11,24,4,10,26,9,9,16,14,13,2,0,33261
11,13,12,40,22,15,7,12,18,21,25,14,14,19,10,9,16,10,10,5,0,34269
2,16,25,45,21,28,4,16,9,9,32,5,21,15,5,5,19,13,7,6,0,32580
4,9,13,25,27,30,22,14,18,11,28,5,10,27,8,15,18,7,6,6,0,32544
15,14,14,33,18,25,14,4,25,22,27,4,5,23,12,8,20,9,6,5,0,34021
9,10,5,48,30,9,15,15,35,29,16,3,6,20,8,14,8,6,7,10,0,35118
5,21,14,20,18,34,9,16,17,4,24,12,10,13,18,17,15,16,8,12,0,33868
4,25,24,32,34,20,12,30,12,9,14,2,18,15,10,9,12,8,6,7,0,34005
7,25,11,26,17,18,20,6,16,8,27,8,18,10,12,9,35,19,9,2,0,34856
6,8,18,43,11,14,10,21,40,25,16,10,10,22,17,4,8,7,9,5,0,34901
6,21,28,19,35,21,17,8,5,15,28,8,9,11,14,17,25,7,8,2,0,33748
7,19,20,35,21,19,12,25,8,13,18,7,13,21,11,9,19,11,8,8,0,34481
4,29,18,15,34,34,19,19,6,12,25,0,12,7,4,13,16,22,13,2,0,33117
7,17,13,21,12,21,27,17,17,21,14,19,12,8,11,25,25,11,4,2,0,35015
2,21,30,24,28,26,11,8,13,10,16,1,16,22,11,14,24,16,6,5,0,33831
5,18,18,25,40,23,14,12,6,6,25,5,20,8,6,10,21,10,29,3,0,33594
7,25,21,34,23,25,5,12,10,13,23,7,18,19,10,6,17,16,8,4,1,33947
4,13,48,25,22,17,26,22,15,3,15,7,9,19,3,16,16,15,9,0,0,32812
16,8,19,24,16,10,34,16,21,17,12,4,7,13,11,12,25,20,11,8,0,35889
7,20,10,31,17,14,22,16,7,14,24,5,28,23,8,10,21,16,10,1,0,34755
4,14,29,29,29,13,32,15,9,5,28,6,15,18,2,10,23,8,8,7,0,33541
5,21,15,26,24,24,19,16,10,18,19,10,12,9,3,13,33,18,3,6,0,34291
3,11,16,27,21,12,33,20,23,16,9,10,18,11,13,14,21,17,7,2,0,35248
5,16,13,31,23,35,10,16,11,13,23,7,12,24,11,10,12,25,6,1,0,32646
13,16,16,39,24,28,13,21,19,13,18,5,14,21,13,4,8,9,7,3,0,33566
11,8,11,27,32,14,16,14,16,9,31,5,23,14,11,17,22,17,6,0,0,33429
5,25,24,26,16,25,23,13,14,11,22,1,17,15,9,8,22,19,5,4,0,34308
6,17,26,20,32,29,12,12,7,10,39,9,13,16,5,8,10,10,22,1,0,32031
5,14,12,34,28,14,29,12,15,9,12,8,14,22,10,19,19,13,10,5,0,34767
6,6,22,29,31,9,22,17,17,11,17,3,11,9,8,10,29,35,9,3,0,34286
8,15,21,21,22,15,30,19,19,18,15,8,16,13,4,9,23,20,7,1,0,34490
4,19,22,21,30,24,6,20,10,19,21,10,13,12,4,10,20,19,14,6,0,33703
7,24,38,29,23,11,20,14,8,17,20,5,20,9,5,9,13,10,14,9,0,35334
5,17,16,30,10,17,15,20,17,15,16,12,10,23,16,13,17,23,7,6,0,35144
9,20,14,42,15,22,10,10,16,10,21,9,21,15,8,9,18,16,15,5,0,34656
16,15,10,43,19,14,10,18,12,15,15,14,11,24,13,10,19,11,6,10,0,35383
4,12,13,39,19,19,22,13,16,23,18,15,12,16,8,17,18,5,8,8,0,34843
7,16,20,29,24,19,11,20,9,11,22,4,15,21,11,14,18,9,11,14,0,34750
7,19,19,41,17,18,20,16,17,15,16,2,13,19,12,6,21,14,9,4,0,35046
6,18,18,35,27,16,20,17,17,15,17,7,12,16,7,12,14,11,12,8,0,34777
3,16,7,10,30,80,18,7,6,15,20,3,10,20,15,11,13,12,8,1,0,30841
6,21,10,23,28,8,29,15,19,16,14,5,8,28,12,14,19,19,7,4,0,35504
7,12,9,35,21,16,26,16,18,13,29,5,9,28,10,8,19,19,4,1,0,33712
9,52,28,8,72,17,29,15,7,3,10,0,2,8,3,6,13,14,7,2,0,34208
10,31,21,26,19,29,17,15,16,5,31,5,11,21,5,15,9,7,7,5,0,33301
4,18,18,49,26,13,12,4,6,11,35,6,18,26,6,4,24,11,8,6,0,33898
10,9,7,39,17,11,16,14,29,28,13,9,6,40,16,12,8,3,13,5,0,35464
3,27,16,39,9,22,21,10,7,6,30,5,15,23,4,11,20,17,15,5,0,34297
3,15,22,44,29,20,6,9,7,7,29,12,14,18,6,15,15,19,7,8,0,33179
8,14,12,29,22,19,16,20,22,15,16,10,11,24,8,15,14,12,12,6,0,34397
10,17,13,21,14,22,22,20,19,16,13,9,8,23,21,16,14,12,9,6,0,35395
6,20,19,39,26,16,26,11,17,12,18,3,11,16,10,15,17,10,9,4,0,34751
8,7,13,45,27,14,4,19,23,19,27,16,11,27,14,7,8,4,12,0,0,33376
14,10,11,36,22,17,10,15,26,26,18,11,7,34,12,11,7,7,9,2,0,34222
9,6,9,43,34,15,15,18,23,23,18,13,4,22,21,10,7,11,3,1,0,34071
10,17,35,24,31,18,23,20,9,5,28,0,15,14,7,6,18,15,7,3,0,33247
7,16,12,34,39,17,13,17,13,7,27,10,11,12,6,16,26,13,5,4,0,33338
12,13,11,41,26,11,11,24,21,24,22,11,5,21,18,11,8,10,5,0,0,34450
2,6,8,25,30,25,18,18,22,10,20,3,12,25,9,10,10,29,13,10,0,33581
12,6,24,21,42,8,18,21,5,8,13,9,31,13,9,26,15,10,3,11,0,34620
7,17,26,43,14,25,21,20,13,11,13,3,11,23,12,7,11,17,9,2,0,34095
4,18,23,39,19,24,15,19,6,11,23,7,13,13,7,11,27,9,12,5,0,33974
12,2,14,44,25,13,12,23,31,25,19,12,6,18,11,12,7,10,9,1,0,33994
7,21,30,20,30,20,6,15,17,13,15,11,17,17,7,17,19,14,9,1,0,33900
7,18,12,17,34,23,29,7,10,7,22,1,12,22,8,16,28,31,2,0,0,33670
10,10,18,34,20,23,17,9,17,14,21,8,18,20,9,13,17,14,8,6,0,34193
4,17,13,22,32,14,17,16,21,9,17,5,22,21,10,12,18,24,9,3,0,34538
6,28,30,15,21,40,10,9,10,8,35,2,4,12,10,10,41,10,4,1,0,32749
7,21,13,21,19,5,34,9,10,6,31,2,26,11,9,5,40,21,14,2,0,35822
5,34,8,35,18,29,9,15,4,8,28,6,14,27,5,7,25,12,7,10,0,34369
4,14,19,34,14,16,30,19,18,16,18,3,16,13,7,7,32,16,8,2,0,35023
4,18,13,13,26,28,35,21,9,10,14,21,9,7,15,4,25,7,26,1,0,34746
9,25,16,25,17,22,44,11,3,10,24,1,24,15,6,9,20,19,4,2,0,34852
11,19,25,19,17,13,24,17,19,14,19,5,17,21,10,6,21,14,9,6,0,35351
5,17,13,22,25,19,39,16,10,8,27,12,4,18,4,9,30,17,8,3,0,33887
6,40,34,24,22,17,6,19,9,3,35,8,27,13,3,1,23,5,3,8,0,34217
11,21,13,35,17,16,47,17,16,14,11,3,4,13,11,15,16,19,7,0,0,35583
8,16,18,34,24,20,20,10,20,7,26,6,7,25,8,8,13,18,10,8,0,33933
8,25,11,28,24,14,18,17,14,12,21,8,15,17,13,11,22,13,9,6,0,35464
2,21,16,23,25,40,22,16,11,7,27,1,11,20,10,13,17,20,4,0,0,32463
7,11,18,32,20,17,11,21,23,18,28,3,7,21,14,12,14,16,5,8,0,34277
6,17,15,37,18,25,3,17,6,22,44,15,7,36,14,3,6,6,5,5,0,32967
6,13,6,45,22,5,31,15,16,8,14,4,19,20,10,11,42,16,3,1,0,35763
6,22,22,38,17,16,16,9,11,17,16,2,16,20,12,12,18,16,16,5,0,35773
8,18,9,44,16,20,19,23,16,18,23,2,11,29,10,11,11,7,8,4,0,34567
8,13,15,31,21,27,17,29,17,13,25,8,12,28,8,9,11,9,4,2,0,33005
14,10,11,47,23,13,9,26,24,26,15,10,8,23,12,11,6,7,10,2,0,34813
6,14,9,53,29,14,9,12,24,30,17,4,12,19,12,11,4,4,10,14,0,35896
5,19,12,28,16,21,12,14,21,15,17,10,13,24,14,8,22,24,7,5,0,35080
7,9,10,20,21,15,32,17,25,11,9,3,21,27,8,12,34,19,7,0,0,35057
5,14,19,38,37,14,23,14,10,9,20,8,15,21,10,16,11,12,7,4,0,34060
6,18,16,39,28,27,12,15,11,15,21,2,17,21,12,9,10,7,11,10,0,34481
4,43,36,39,24,42,3,7,7,3,28,6,5,17,4,5,15,8,6,5,0,32750
11,19,16,43,22,17,12,16,11,17,24,4,13,15,2,7,23,15,12,8,0,34864
5,30,32,47,26,15,7,5,9,2,26,10,23,12,3,3,31,8,10,3,0,34322
16,10,12,35,19,11,9,29,32,20,21,9,4,27,16,11,9,6,9,2,0,34672
6,12,10,23,26,12,42,19,13,8,20,17,29,8,11,10,22,10,8,1,0,35049
10,17,20,24,21,25,22,11,16,18,15,5,11,19,9,17,24,17,5,1,0,34500
2,23,14,50,13,12,37,11,3,4,25,7,22,18,2,14,24,18,5,3,0,34930
4,20,6,36,15,24,16,16,15,16,21,8,20,22,10,11,22,13,8,4,0,34846
11,15,9,38,25,18,13,19,19,19,18,11,15,14,17,16,11,12,4,3,0,34948
10,17,15,25,23,19,13,19,25,7,12,9,13,29,9,15,14,18,11,4,0,34439
6,34,22,57,26,25,1,4,3,9,37,7,7,19,7,1,18,12,7,5,0,33574
9,33,18,33,12,22,21,8,12,10,33,0,11,14,11,5,31,11,9,4,0,35222
7,11,23,25,17,16,19,23,16,8,33,5,18,12,13,15,19,17,9,1,0,33879
6,23,28,19,27,36,17,11,2,10,42,13,9,6,12,4,11,13,17,1,0,32584
12,12,9,41,24,30,24,18,15,11,20,3,14,16,3,13,26,8,3,5,0,33698
8,7,8,42,27,26,10,15,16,10,37,3,6,35,5,6,15,10,21,0,0,32251
10,10,3,40,25,16,17,16,42,28,12,6,8,19,11,20,8,6,3,7,0,35365
5,14,22,64,21,32,2,12,4,10,46,7,12,19,6,1,12,5,8,5,0,31947
4,37,12,50,7,10,13,10,4,9,39,2,34,12,1,3,39,11,5,6,0,35914
8,18,14,40,20,14,14,12,9,9,35,4,19,17,12,8,22,24,7,2,0,34482
2,17,28,34,22,36,16,10,7,17,34,6,11,20,8,7,10,6,9,8,0,33065
7,15,14,31,20,19,10,21,14,10,17,2,18,20,19,19,16,13,18,5,0,35367
10,24,18,24,19,17,12,9,10,11,30,4,15,23,10,12,38,10,8,4,0,35012
3,15,10,24,19,15,26,17,12,9,22,20,13,17,8,17,32,17,5,7,0,34986
9,8,15,37,23,15,24,9,21,13,21,11,15,21,8,16,15,18,6,3,0,34378
7,18,16,30,9,28,21,26,8,9,26,8,6,28,9,8,20,16,13,2,0,33806
7,14,11,34,27,18,23,22,9,9,30,5,18,18,5,9,19,20,5,5,0,33885
5,25,21,33,18,29,10,17,6,9,28,15,10,36,12,3,10,9,8,4,0,33435
9,10,11,22,15,40,23,19,14,5,34,6,7,30,4,11,18,20,7,3,0,32055
13,13,12,47,27,12,10,23,25,21,22,10,7,20,14,11,3,9,7,2,0,34570
8,8,11,47,29,14,10,24,23,20,26,10,8,27,12,8,5,6,7,5,0,33961
20,11,13,36,19,16,8,26,21,24,23,13,4,21,16,10,7,8,9,3,0,34765
8,16,16,39,17,29,8,19,5,15,26,3,13,27,9,12,15,11,15,5,0,33917
5,35,27,46,29,16,5,13,6,4,30,9,14,15,3,6,14,14,12,5,0,34140
11,19,18,29,24,18,14,14,16,21,14,17,6,24,6,10,17,12,10,8,0,35140
7,15,21,36,13,14,20,23,19,23,19,7,9,16,20,7,10,9,13,7,0,36034
9,13,16,34,25,18,16,12,18,18,20,5,13,19,12,10,15,20,9,6,0,34960
6,11,15,13,25,18,31,29,17,6,28,2,10,15,9,9,35,25,2,2,0,33870
10,18,15,27,38,32,18,26,13,8,23,5,16,16,5,6,14,13,2,3,0,32796
8,12,27,17,26,29,38,11,12,17,21,1,6,10,18,18,18,13,7,0,0,34376
11,9,23,20,15,27,28,17,11,4,35,2,15,23,8,8,25,18,5,5,0,33382
14,7,11,46,32,17,8,20,22,21,23,12,8,18,11,11,8,9,9,2,0,34013
6,17,16,39,14,13,27,13,11,11,13,8,21,18,9,15,35,15,7,1,0,35823
10,20,12,26,20,28,14,26,10,15,39,6,14,26,11,8,9,10,3,2,0,33229
6,11,10,47,26,12,22,18,24,25,16,6,8,31,9,14,7,3,6,8,0,35278
6,20,13,31,15,23,12,18,13,14,12,10,14,21,16,12,20,24,10,5,0,35594
1,15,107,9,18,61,14,1,2,0,4,0,43,3,0,13,14,1,3,0,0,30980
5,19,14,33,27,12,30,10,8,5,34,7,11,18,13,17,25,14,5,2,0,34559
9,13,41,19,26,42,5,14,10,13,38,3,11,15,16,13,13,4,2,2,0,31909
13,9,13,43,28,17,11,17,24,26,11,10,8,33,12,10,6,8,7,3,0,34760
4,13,28,38,28,15,13,20,18,11,13,4,13,24,6,16,21,9,9,6,0,34516
4,12,10,52,24,9,30,9,25,8,12,7,9,12,10,31,20,16,7,2,0,35480
2,14,10,13,32,23,28,14,11,22,13,3,6,15,16,21,31,23,9,3,0,35434
11,6,10,39,18,25,29,13,18,22,26,9,8,21,9,9,17,12,5,2,0,34095
6,25,36,21,27,16,9,17,12,5,22,9,13,20,10,9,21,11,11,9,0,34773
9,12,12,41,28,16,17,19,8,24,18,14,13,18,9,13,18,6,7,7,0,35170
14,9,12,46,25,13,11,26,30,25,14,9,11,20,15,11,7,6,4,1,0,35010
11,7,11,48,27,10,14,25,28,26,17,9,11,19,13,12,8,8,4,1,0,34902
13,12,15,44,28,13,8,16,28,23,20,9,8,25,15,8,8,7,8,1,0,34746
10,11,12,47,32,8,13,25,20,24,12,12,6,26,14,10,6,9,12,0,0,35083
14,5,7,35,30,15,13,23,29,25,17,11,9,24,16,15,8,6,6,1,0,34627
10,9,10,34,25,14,12,23,34,23,16,13,5,34,12,11,8,7,9,0,0,34401
11,5,11,47,30,11,13,20,34,19,18,12,5,23,11,13,6,8,11,1,0,34307
6,12,29,42,22,18,7,16,9,22,23,14,10,25,6,12,6,8,12,10,0,34352
8,16,18,29,29,26,14,17,22,9,19,8,15,16,10,10,21,15,7,0,0,33786
2,29,15,24,34,16,8,10,6,3,22,4,15,21,12,13,42,25,4,4,0,35028
13,8,12,43,34,18,6,20,21,29,12,11,4,29,14,13,7,8,6,1,0,34404
4,17,16,47,20,30,7,15,15,20,25,8,15,21,9,8,11,7,5,9,0,34153
14,9,18,25,24,34,21,20,11,7,17,7,22,13,14,16,13,17,5,2,0,33697
4,34,32,29,27,19,14,13,5,10,32,11,17,8,7,4,21,12,7,3,0,34414
8,25,16,35,14,27,14,11,10,19,25,4,14,16,10,8,23,16,9,5,0,35171
11,19,13,31,22,34,16,7,11,15,22,4,13,20,10,9,20,16,11,5,0,34412
7,19,12,49,19,15,7,19,10,12,37,15,10,29,12,10,6,9,5,7,0,34072
8,10,11,51,23,35,6,10,12,21,38,8,10,22,3,2,18,5,11,5,0,32742
9,20,19,24,20,16,21,12,18,24,21,4,12,15,4,12,26,17,6,9,0,35776
10,10,8,39,20,9,19,19,42,26,17,6,4,24,13,14,6,7,8,8,0,35877
14,12,12,46,23,13,13,19,29,24,16,8,5,22,16,11,7,9,8,2,0,35304
6,26,20,41,16,16,18,11,17,9,22,5,15,17,13,5,25,13,11,3,0,35591
14,6,13,41,29,13,13,19,24,22,22,11,9,24,15,14,3,9,6,2,0,34396
12,15,15,54,18,17,9,17,23,19,19,12,7,26,12,11,8,5,9,2,0,34802
4,26,32,41,21,18,8,13,6,8,31,13,8,14,7,16,12,18,9,5,0,34114
4,15,14,29,28,19,15,19,9,12,21,9,20,26,15,13,18,13,5,6,0,34792
1,14,104,9,21,55,15,2,2,1,8,0,43,2,0,11,15,1,6,0,0,31326
4,11,27,28,23,30,9,33,5,6,37,2,20,13,4,5,27,16,7,3,0,32462
6,17,13,19,25,29,13,28,14,6,25,2,29,21,7,11,22,16,6,1,0,33538
5,8,27,27,26,17,15,24,16,9,23,7,13,22,8,14,17,14,11,7,0,34044
7,10,8,42,20,19,22,19,25,14,26,8,9,22,12,12,18,7,6,4,0,34516
7,14,13,38,17,15,18,14,19,18,11,10,11,15,14,21,25,12,12,6,0,36306
4,5,32,22,49,16,5,43,13,5,25,2,7,22,6,12,19,10,9,4,0,32289
8,20,24,24,30,13,15,29,12,8,27,1,16,17,9,11,25,14,7,0,0,34262
11,9,9,41,33,13,6,21,27,29,19,9,10,27,13,15,4,7,5,2,0,34661
16,4,9,46,31,15,9,21,21,22,16,11,14,28,12,11,7,8,8,1,0,34430
8,14,16,49,16,18,8,23,22,18,25,11,7,28,15,10,2,13,4,3,0,34297
15,11,12,45,27,14,9,16,22,28,18,11,9,26,12,9,5,11,7,3,0,35053
15,13,12,32,23,15,10,22,25,21,16,11,8,34,19,11,11,6,5,1,0,35093
14,9,11,53,23,11,7,20,24,23,27,8,9,23,15,7,13,7,5,1,0,34757
12,8,10,50,28,11,13,17,22,27,17,12,5,20,15,14,9,13,6,1,0,35167
4,19,19,36,23,21,12,18,16,10,18,5,17,18,6,9,22,19,15,3,0,34677
4,21,23,30,29,26,8,14,16,12,27,11,8,17,16,7,18,13,7,3,0,33990
2,22,30,24,22,25,11,10,9,9,22,4,17,22,12,11,26,19,10,3,0,34474
3,19,17,28,24,26,31,9,13,14,18,13,17,12,8,10,26,11,10,1,0,34802
9,14,14,50,23,13,9,14,22,22,22,14,7,25,12,11,11,6,8,4,0,34993
2,26,21,37,28,26,11,11,5,7,39,2,22,18,5,3,24,11,6,6,0,33652
3,25,16,26,20,20,15,16,20,12,17,10,10,26,11,15,20,19,6,3,0,35020
11,13,13,46,19,21,9,11,10,13,28,8,15,19,14,10,18,19,11,2,0,34561
5,22,23,23,19,25,14,17,13,13,32,12,10,23,6,10,22,7,10,4,0,33881
10,18,17,36,20,15,22,18,11,26,11,9,13,21,13,9,16,15,5,5,0,36189
12,11,12,40,25,17,6,19,35,23,18,9,8,21,14,10,6,8,14,2,0,34912
11,12,10,46,27,11,9,19,24,25,23,10,11,27,14,7,8,6,8,3,0,35175
9,29,33,38,29,27,22,11,3,5,19,4,18,16,2,10,16,10,7,3,0,34164
8,18,14,32,25,18,17,14,25,20,22,11,10,17,16,14,8,13,8,1,0,35116
12,11,13,41,24,9,10,16,33,28,24,14,5,22,14,13,8,5,6,3,0,35299
3,13,13,29,24,24,14,13,8,14,19,11,22,20,5,16,20,17,15,11,0,35092
8,19,16,22,21,37,15,12,19,10,27,5,12,27,5,16,13,17,6,4,0,33269
7,22,17,30,12,34,20,18,16,13,27,6,11,26,10,10,11,11,7,3,0,34013
4,20,35,37,33,24,7,22,4,10,21,1,15,18,6,4,21,17,9,3,0,33740
4,19,23,40,22,28,7,17,7,15,36,4,13,25,11,6,8,8,11,7,0,33760
9,20,15,38,26,13,18,15,12,12,18,4,20,24,9,16,11,18,9,4,0,35432
9,14,14,35,26,18,7,10,26,18,15,12,14,24,26,8,6,7,12,10,0,36217
11,12,20,34,22,15,9,22,18,14,21,9,10,29,11,6,25,8,6,9,0,35076
10,17,18,29,24,34,9,14,14,16,30,7,13,29,12,7,10,10,4,4,0,33440
5,13,33,42,30,31,10,12,9,7,21,7,13,28,4,10,16,12,6,2,0,32679
3,14,20,26,20,23,20,11,19,19,16,9,17,18,10,15,18,18,10,5,0,35228
15,9,12,45,29,12,11,20,24,23,19,10,10,28,13,11,8,6,5,1,0,34803
16,15,10,41,32,12,9,21,30,21,15,9,7,22,15,13,5,11,6,1,0,35228
16,9,8,38,35,17,10,23,33,25,17,11,9,17,15,9,4,8,5,2,0,34789
10,10,9,48,29,11,12,23,23,20,17,15,3,29,13,13,8,9,9,0,0,34682
11,10,9,45,28,12,12,22,23,20,19,16,2,31,12,12,9,9,8,1,0,34559
11,14,15,42,26,15,8,21,20,19,21,12,6,34,15,7,2,11,10,2,0,34569
16,11,12,39,27,15,7,24,23,23,21,14,7,24,12,8,7,9,11,1,0,34650
15,8,11,34,20,17,17,20,28,25,15,12,5,30,13,12,12,8,6,3,0,35172
10,12,29,24,16,26,5,23,27,19,19,6,11,28,24,7,6,10,6,3,0,34607
11,19,10,31,23,24,14,26,15,11,26,6,10,26,14,10,20,8,6,1,0,34283
14,14,12,51,26,15,12,14,21,19,20,11,9,24,11,11,8,4,9,6,0,35207
2,20,34,21,30,25,4,21,14,11,19,11,14,14,6,12,22,16,12,3,0,33861
10,16,14,45,36,18,11,17,22,18,14,11,9,23,7,12,3,6,14,5,0,34713
7,26,28,39,17,22,13,19,6,8,27,1,14,22,10,4,17,12,12,7,0,34919
4,18,24,34,29,23,6,15,11,10,26,8,15,22,8,11,16,12,16,3,0,33908
7,19,21,34,22,18,12,12,13,18,45,0,12,22,8,7,24,9,5,3,0,34005
7,15,19,48,21,18,9,13,19,27,22,2,7,18,17,8,11,9,12,9,0,35919
7,20,16,41,22,24,10,17,12,14,25,9,17,32,6,10,14,11,4,0,0,33755
9,10,16,49,21,17,13,16,20,16,22,12,7,22,23,5,12,9,7,5,0,35239
4,19,35,39,15,30,10,12,15,12,21,8,9,18,6,3,19,19,10,7,0,34190
19,12,11,38,29,17,10,17,27,26,20,12,5,20,14,9,7,10,7,2,0,35112
17,14,11,47,26,17,8,19,12,18,30,13,5,22,14,8,8,8,12,3,0,34659
9,30,23,32,21,8,22,3,9,15,18,7,12,17,9,7,34,15,8,13,0,37499
7,8,25,44,27,12,16,18,13,7,21,7,18,16,7,14,24,19,5,4,0,34563
12,18,15,32,19,19,14,13,14,7,18,4,18,35,10,13,21,18,9,3,0,35102
14,5,11,49,27,10,10,24,15,24,20,12,8,31,11,12,5,9,13,2,0,34866
13,10,15,49,24,14,9,18,20,22,19,10,7,29,12,9,8,7,12,5,0,35204
5,13,17,48,27,15,9,23,17,20,17,10,11,32,11,9,10,8,6,4,0,34763
10,13,20,38,23,19,22,14,9,10,24,5,17,19,9,10,23,11,10,6,0,35032
1,0,9,0,72,145,7,6,5,9,3,19,14,11,8,0,0,1,1,1,0,25761
15,11,10,48,26,14,12,19,24,19,18,11,6,26,17,11,5,8,10,2,0,35240
13,18,18,27,18,24,15,25,11,15,27,8,14,31,12,9,9,13,3,2,0,34216
8,27,22,31,20,24,17,15,9,2,34,7,18,21,6,5,18,11,10,7,0,34390
6,14,6,21,20,25,21,14,13,17,15,5,18,17,17,22,21,21,7,12,0,36379
8,11,17,24,19,20,37,13,23,4,23,5,19,24,3,13,30,14,4,1,0,34353
2,29,21,49,19,23,8,5,3,8,39,6,24,18,7,5,25,15,4,2,0,34247
10,9,12,32,27,25,28,18,23,11,21,2,5,28,14,12,16,11,4,4,0,34324
5,15,22,47,24,17,18,15,11,15,21,4,16,16,10,15,17,15,4,5,0,35093
6,3,14,34,22,17,46,12,11,15,18,4,11,24,11,16,19,19,8,2,0,35139
5,10,17,38,34,20,28,11,10,8,27,10,10,20,2,10,26,19,5,2,0,33582
11,11,13,44,29,15,12,17,20,29,18,9,6,31,11,8,5,10,10,3,0,35074
8,8,12,48,30,12,10,23,24,25,18,12,8,28,14,7,7,7,7,4,0,35029
6,21,16,63,14,26,1,11,10,18,33,16,9,22,9,6,10,7,8,6,0,34286
17,14,10,42,30,13,8,26,28,21,15,9,7,20,15,12,5,13,7,0,0,35219
6,22,25,31,19,16,22,26,10,17,19,12,14,9,7,9,10,14,23,1,0,35513
7,49,18,24,31,11,24,9,14,7,8,4,6,14,13,8,33,17,14,1,0,37477
20,9,11,37,30,18,9,21,28,24,18,13,6,18,13,9,7,10,9,2,0,34902
16,6,12,49,36,16,10,19,16,22,19,10,6,27,13,9,7,9,8,2,0,34448
12,10,12,39,27,13,12,13,34,35,16,8,7,30,10,10,6,10,7,1,0,35355
14,10,18,39,15,16,8,17,37,26,14,9,9,29,13,12,6,6,12,2,0,35480
12,13,13,55,26,11,12,21,17,16,26,15,2,26,12,6,11,5,11,2,0,34689
7,11,14,51,24,15,11,18,29,18,21,13,9,22,16,8,8,8,7,2,0,34869
14,13,13,40,25,14,9,21,29,25,20,10,5,21,18,9,6,9,9,2,0,35444
12,7,10,46,26,15,14,24,32,28,14,9,6,22,10,11,6,7,9,4,0,35264
12,9,10,51,23,10,9,20,31,23,17,9,7,26,18,14,6,10,6,1,0,35463
9,8,15,46,19,16,11,31,33,23,18,12,8,22,10,11,6,3,8,3,0,34727
13,11,15,36,34,12,8,20,29,24,15,12,8,31,12,10,4,9,8,1,0,34815
6,24,18,21,20,24,16,19,18,14,37,6,7,20,4,5,35,12,5,1,0,33982
5,18,15,33,23,16,20,18,22,15,25,9,8,22,5,12,22,11,9,4,0,34854
